Alimento,Energia (kcal),Energia (kJ)
Acciuga o alice,96,403
"Acciuga o alice, sotto sale",137,571
"Acciuga o alice, sott'olio",206,862
Aglio,53,222
Aglio Bianco Piacentino,47,197
Aglio Rosso di Castelliri,52,216
Aglio Rosso di Procerno,57,237
Aglio Rosso di Sulmona,58,244
"Agnello, coscio, cotto, al forno",118,494
"Agnello, coscio, crudo",102,429
"Agnello, costoletta, cotto, al forno",118,493
"Agnello, costoletta, crudo",106,443
"Agnello, cotto, al forno",199,833
"Agnello, crudo",159,666
"Agretti, cotti, bolliti",25,106
"Agretti, crudi",22,91
"Albicocche, disidratate",356,1488
"Albicocche, fresche",42,177
"Albicocche, sciroppate",65,271
"Albicocche, secche",286,1196
Alici al forno,172,720
Alici marinate,120,501
"Amarene, fresche",44,183
Anacardi,604,2526
"Ananas, fresco",42,174
"Ananas, sciroppato",66,275
"Anatra domestica, crudo",159,667
"Anguilla d'allevamento, filetti",237,991
Anguilla di fiume,261,1092
Anguilla di mare,237,993
"Anguilla, affumicata",231,966
"Anguilla, marinata",259,1082
Animelle di bovino,304,1271
"Animelle di bovino, cotte",434,1818
"Anona, fresca",73,304
Aperitivi a base di vino,186,777
"Arachidi, tostate",620,2593
Aragosta,85,355
"Aragosta, bollita",86,358
"Arance bionde succo, fresco",38,159
"Arance bionde, fresche",45,188
"Arance Moro, fresche",42,174
"Arance rosse succo, fresco",39,163
"Arance rosse, fresche",45,188
"Arance Sanguinello, fresche",47,195
"Arance succo, fresco",33,137
"Arance Tarocco, fresche",45,190
"Arance Valencia, fresche",39,162
"Arance Washington Navel, fresche",44,185
"Arance, fresche",37,155
Aranciata,38,159
Aringa,216,905
"Aringa, affumicata",194,811
"Aringa, marinata",199,833
"Aringa, sotto sale",218,911
"Asparagi di bosco, crudi",40,166
"Asparagi di campo, cotti, bolliti",34,142
"Asparagi di campo, crudi",33,136
"Asparagi di serra, crudi",28,119
"Avocado, fresco",238,996
Baba' al rhum,288,1203
"Babaco, fresco",24,99
Baccalà alla vicentina,520,2174
"Banane, fresche",76,319
"Barbabietole rosse, cotte, bollite",43,180
"Barbabietole rosse, crude",25,103
Barretta al cocco ricoperta di cioccolato,472,1976
"Basilico, fresco",42,177
Bastoncini di crusca di frumento,301,1258
Besciamella,139,580
Bevanda tipo cola,39,165
"Bieta, cotta, al microonde",15,64
"Bieta, cotta, bollita",18,74
"Bieta, cruda",15,64
Birra chiara,34,140
"Biscotti, alla soia",375,1571
"Biscotti, frollini",426,1781
"Biscotti, integrali",419,1755
"Biscotti, integrali, con soia",464,1940
"Biscotti, secchi",404,1691
"Biscotti, wafers",452,1893
Boga,87,364
"Bottarga, cefalo muggine",405,1696
"Bovino adulto o vitellone, copertina di sotto, copertina di spalla, sottospalla e collo, crudo",132,554
"Bovino adulto o vitellone, costata, crudo",140,586
"Bovino adulto o vitellone, fesa, crudo",103,433
"Bovino adulto o vitellone, filetto, crudo",127,531
"Bovino adulto o vitellone, geretto anteriore e posteriore, crudo",112,470
"Bovino adulto o vitellone, girello, crudo",110,462
"Bovino adulto o vitellone, lombata, crudo",134,561
"Bovino adulto o vitellone, noce, crudo",106,443
"Bovino adulto o vitellone, pancia, biancostato e punta di petto, crudo",171,714
"Bovino adulto o vitellone, scamone, crudo",119,497
"Bovino adulto o vitellone, sottofesa, crudo",111,466
"Bovino adulto o vitellone, spalla, muscolo, girello e fesone, crudo",108,450
"Bovino adulto o vitellone, tagli anteriori, crudo",145,607
"Bovino adulto o vitellone, tagli posteriori, crudo",117,488
Brandy,230,964
Brasato al Barolo,108,452
Bresaola della Valtellina IGP,152,636
Brie,320,1339
"Broccoletti di rapa, cotti, bolliti",29,122
"Broccoletti di rapa, crudi",28,115
"Broccolo a testa, cotto, bollito",34,144
"Broccolo a testa, crudo",33,140
"Bufalo, solo tessuto muscolare, crudo",98,410
Burrini,527,2204
Burro,758,3171
Burro d'arachidi,625,2615
Butirro calabro,449,1879
"Cacao amaro, in polvere",355,1486
Caciocavallo,431,1805
Cacioricotta di capra,182,761
Caciotta mista,384,1606
Caciotta romana di pecora,364,1525
Caciotta toscana,368,1539
Caciottina fresca,263,1099
Caciottina mista,370,1547
Caciottina vaccina,324,1357
Caffe' tostato,287,1201
Calamaro,68,284
Calamaro surgelato,68,285
Camembert,307,1283
Canditi,292,1223
"Cannoli alla crema, industriale",368,1541
Cannoli siciliani,325,1358
Capitone,247,1035
Capocollo,450,1884
Capocollo di Calabria,344,1439
"Capra, solo tessuto muscolare, crudo",106,441
"Capretto, crudo",113,472
Caramelle dure,344,1437
"Caramelle tipo ""mou""",430,1798
Carciofi alla romana,85,355
"Carciofi, cotti, al microonde",34,140
"Carciofi, cotti, bolliti",44,185
"Carciofi, crudi",33,138
"Carciofi, surgelati",32,134
Carciofo Romanesco IGP,48,199
"Carciofo, Spinoso sardo",45,187
"Carciofo, verde, precoce",45,187
"Carciofo, violetto, precoce",43,182
"Cardi, cotti, bolliti",22,91
"Cardi, crudi",13,53
"Carne bovina in gelatina, in scatola",67,279
"Carne bovina pressata, in scatola",141,589
"Carote, cotte, al microonde",41,173
"Carote, cotte, bollite",47,196
"Carote, crude",41,171
Carpa,139,584
Carrube,253,1058
Castagnaccio,234,978
Castagne,174,728
"Castagne, arrostite",210,878
"Castagne, bollite",130,545
"Castagne, secche",315,1317
"Cavallo, solo tessuto muscolare, crudo",106,442
"Cavallo, tessuto muscolare e grasso, crudo",143,597
"Caviale, storione",255,1067
"Cavolfiore, cotto, al microonde",30,125
"Cavolfiore, cotto, bollito",31,132
"Cavolfiore, crudo",30,124
"Cavoli di Bruxelles, cotti, bolliti",53,220
"Cavoli di Bruxelles, crudi",47,197
"Cavolo broccolo verde ramoso, cotto, bollito",52,219
"Cavolo broccolo verde ramoso, crudo",30,125
"Cavolo cappuccio, rosso, crudo",22,90
"Cavolo cappuccio, verde, cotto, bollito",24,100
"Cavolo cappuccio, verde, crudo",24,100
"Cavolo verza, cotto, bollito",29,121
"Cavolo verza, cruda",29,121
"Ceci, in scatola, scolati",111,465
"Ceci, secchi",343,1437
"Ceci, secchi, cotti, bolliti",132,553
Cefalo muggine,127,531
Cernia surgelata,88,368
Cervello di bovino,157,658
"Cervo, solo tessuto muscolare, crudo",91,382
"Cetrioli, freschi",16,65
Cheddar,388,1622
"Cheese burger, fast food",300,1257
"Chicken Nuggets, fast food",242,1012
Ciccioli,636,2662
"Cicoria, da taglio, coltivata, cruda",14,61
"Cicoria, di campo, cotta, bollita",17,72
"Cicoria, di campo, cruda",17,72
"Cicoria, witloof o indivia belga, cruda",20,82
"Ciliege, candite",252,1056
"Ciliege, fresche",48,201
"Cioccolato, al latte",552,2308
"Cioccolato, al latte con nocciole",553,2313
"Cioccolato, fondente",531,2222
"Cipolle, cotte, bollite",39,161
"Cipolle, crude",28,118
"Cipolline, cotte, bollite",53,223
"Cipolline, crude",42,175
"Clementine, fresche",40,165
"Cocco, essiccato",669,2800
"Cocco, fresco",358,1497
Cocktail di frutta sciroppata,59,248
"Cocomero, fresco",16,67
"Coniglio intero, crudo",118,495
"Coniglio, coscio, crudo",137,574
"Coniglio, intero surgelato, crudo",116,487
"Coniglio, intero, cotto",166,693
